sim_index,A,B,C,D
0,24.483570765056164,17.376261046118962,17.589964989454035,17.329123154468736
1,20.82923312638332,16.947114505500387,21.31787994584647,14.684385467064653
2,19.65262807032524,20.442984369387943,13.146168173555845,10.370520279328176
3,23.20981135783017,9.389486046156792,8.104010577490204,10.036991378236126
4,16.93584439832788,19.417272689884218,11.369441202221566,7.059301217691843
5,29.328243844607773,16.979434067851233,15.267385362058892,7.011460911194346
6,19.278086377374088,18.50085000782103,10.396980527023484,13.317273612685515
7,18.996806550405974,16.6892524341388,12.595137856104582,18.485169437039364
8,21.93251387631033,13.240344075059916,18.292536924302272,7.727413639091957
9,23.044317975023777,9.180834907704064,9.69111217717732,12.693544409847089
10,25.692332899977053,18.768853064273326,14.53540511229953,10.944969902818004
11,14.607390048162863,14.765314829417349,13.162282977941109,15.703837028393433
12,23.71809144784231,10.065249118708712,16.29946090342702,10.653823795264367
13,18.615389998470206,20.754654634835703,19.124139448839976,15.25805760293456
14,17.803912383886807,16.611163001786135,16.32758034210087,15.415608054188246
15,19.60412881077355,17.166029829443673,10.576124359932184,7.815883522054871
16,26.062629111970992,24.100543581093437,14.707186246563479,15.50928071500937
17,23.80818012523817,15.095833497640406,16.446206633010565,17.383012098883437
18,21.820869804450243,25.04100653608626,4.517656969544598,14.87826431164055
19,22.435235341190857,16.65419565945708,15.367509763899417,5.043687491394359
20,20.90164056081244,19.607691561839907,20.911271475064524,10.18367741836962
21,17.95753198553406,15.744616346611096,18.66449067943757,13.151208036253506
22,19.351198981164806,20.31135574569573,15.38834558076673,15.390137428674214
23,18.489734530613237,16.52771110036236,13.43383373574791,6.879790087632491
24,23.48060138532288,19.173824547187643,15.019227635835485,11.178118411423242
25,14.923146289747928,16.11151245924112,13.633182226054776,9.195234019134311
26,21.193571441669953,19.81873163006436,22.54420662112798,12.607889160132778
27,23.28775195361382,17.664189902353904,7.324514745877522,11.909756072182022
28,22.301151049705133,29.084398923685775,14.22500097611574,13.051986484816492
29,21.826441151473784,12.741058395475907,19.573939115102934,14.631853292478468
30,25.955159735215236,13.905289417342495,20.611437314902606,7.0916331116469005
31,24.934285469001352,27.855216952815148,11.031742468540752,10.015331280129496
32,22.498256825438204,15.734049188777366,8.798237335010787,12.242846468371086
33,16.688481431369475,20.134479813207506,11.32359861852603,17.426986944956475
34,18.083733538318814,16.553167275688327,18.25650006844011,7.692403987834774
35,23.137299673020646,23.881431305469185,8.566690887723968,12.646326737188948
36,23.299413971242117,21.517391243060118,10.049905708817256,7.378691293737531
37,24.60970782808449,19.33480225064595,16.000169007193577,13.21099565771718
38,18.599876392107547,19.04726306315021,16.173274280197454,9.499997394978047
39,31.328872555723784,20.126426415130524,10.229639594312573,14.296250459778904
40,17.126591648863393,21.54492087234133,19.634792425719493,9.126182601159437
41,26.81688064622161,19.854507991227095,18.285211469224354,18.635540549846144
42,20.773059419985646,14.608953686554361,11.44414258207182,9.147443266164434
43,21.614491452929478,19.535424075018245,16.106181431156987,14.894344919624043
44,22.065009459389536,24.540861209162614,13.938144390480184,21.518821744978702
