sim_index,A,B,C,D
0,24.483570765056164,17.376022672879454,17.589686672765893,17.328475865054
1,20.829233126383322,16.947226983034962,21.3182683497479,14.683670350840687
2,19.65262807032524,20.44320952263962,13.146074307016587,10.370771281330446
3,23.20981135783017,9.38937058998626,8.105476122334334,10.03917266413472
4,16.93584439832788,19.417758736195704,11.369980264453591,7.060333545714185
5,29.32824384460777,16.978730637360396,15.266408330967398,7.010624420532645
6,19.278086377374088,18.501111271774132,10.397321210107279,13.318290501247613
7,18.996806550405974,16.689540845253028,12.595871680768049,18.486126320466273
8,21.93251387631033,13.240350932811486,18.293462986807246,7.727573619257118
9,23.044317975023777,9.180735355524419,9.692643950030952,12.695521022051505
10,25.692332899977053,18.76849853889652,14.534666030399555,10.944461258367118
11,14.607390048162863,14.766024777964958,13.164089808209178,15.705541408047646
12,23.71809144784231,10.065084813803477,16.300712754941568,10.65452686532861
13,18.615389998470206,20.75497933817101,19.12415004402176,15.257435669627263
14,17.803912383886807,16.611565937019027,16.328519186597553,15.416130512631762
15,19.60412881077355,17.166259899618034,10.576669718770919,7.8170217564721
16,26.062629111970992,24.100153082622136,14.705361564568044,15.507935079793759
17,23.80818012523817,15.095660143559364,16.446475716050756,17.382960506914678
18,21.820869804450243,25.0410231718166,4.516333233560042,14.878965805549205
19,22.435235341190857,16.65415398402859,15.367699018574914,5.043766543031639
20,20.90164056081244,19.60779687635689,20.911136279289988,10.182640046056518
21,17.95753198553406,15.745004603370258,18.665571084976744,13.151459662708001
22,19.351198981164806,20.311609846638444,15.388324704154657,15.39008432796438
23,18.489734530613237,16.528048203281568,13.434679618256107,6.880703645837575
24,23.48060138532288,19.173682315892417,15.018764614745411,11.177758077529182
25,14.92314628974793,16.112191987956628,13.634679248427958,9.196632026376623
26,21.193571441669953,19.818808902394096,22.54398361444381,12.606521239232638
27,23.28775195361382,17.664066304847783,7.324375281119241,11.910871614415186
28,22.301151049705133,29.084369130358795,14.222819405418903,13.050490787588473
29,21.826441151473784,12.741075475979684,19.574977916803597,14.631890340334955
30,25.955159735215233,13.904910047932463,20.61159064736458,7.090809655257349
31,24.934285469001352,27.85493447635062,11.029376747319324,10.014186761785412
32,22.498256825438204,15.734001536567845,8.798595402457476,12.244101867133537
33,16.688481431369475,20.134989549254524,11.324039250682066,17.427953152313936
34,18.083733538318814,16.553543352695527,18.25740474524154,7.692591145065823
35,23.137299673020646,23.881321656220486,8.565378459668661,12.646374939767663
36,23.299413971242117,21.517266219113488,10.04902195683486,7.378819169532123
37,24.60970782808449,19.33455161225512,15.999493940370865,13.210309308339449
38,18.599876392107547,19.04758939177682,16.173616808260213,9.500096627877458
39,31.328872555723784,20.12553067354341,10.227737852069009,14.295515414257215
40,17.126591648863393,21.545388437451845,19.634889155368946,9.125558713021952
41,26.81688064622161,19.854045422744335,18.284082331746063,18.634128219644694
42,20.773059419985646,14.609071742989157,11.444992729264499,9.148656451530702
43,21.614491452929478,19.535460961569864,16.105947313816447,14.893996865516728
44,22.065009459389536,24.540854447307762,13.936875264135798,21.518048202492462
45,25.12833673882503,14.14053982798185,10.717184972336296,13.691406635722355
46,20.882686073370746,21.213805661280713,16.891429458340202,11.743061769895311
47,17.766031409657977,11.186238127679005,13.221128697111874,15.003325923778075
48,23.07046872065102,12.393406552181311,15.695902576316307,13.35042379043583
49,17.580712818994336,18.694944642161012,15.235014729646025,8.00102407423912
50,23.788936801741418,20.522241526629955,19.329408799521243,15.68407548274281
51,15.111653160214544,13.784748280574863,17.067149857419015,13.802050404003728
52,24.575238431530238,35.33543198834131,17.270196561989973,15.964044095320821
53,26.770008817466014,20.927825286523966,13.73406346883343,14.653667382273042
54,18.13587392731214,16.937098781461142,13.061591889727753,12.289717127217074
55,33.573292833367546,9.588976551359412,17.743823415668935,6.353105439175446
56,19.640340671052833,22.901975072980882,15.25519515044014,8.226455125990437
57,18.42348145370016,21.060763984938465,12.07859626315906,12.759222959660018
