sim_index,B,C,D
0,20.235213688550548,14.44542038036501,14.266152623026635
1,24.853634353836114,14.058718234390726,11.177800613191788
2,25.10645766978326,18.064897255960872,10.351885420997268
3,20.441520196136842,13.144666664337377,10.369780142686546
4,19.088830222047154,7.346139581847642,5.966320898147713
5,15.469706118415623,10.950400287580052,13.103191851682324
6,13.913891660154551,9.353570218612171,17.13466913487232
7,16.984006647810588,15.270804811282964,7.013717103285367
8,15.550277739636678,15.445358924322186,7.972438765544485
9,19.690641082555523,12.596294319060101,10.979548051060267
10,15.292320244967714,22.410954973132995,11.95011687698782
11,13.24030081969845,18.293420882465927,7.727543866068225
12,18.939886177521398,7.160681576781563,7.3550495043450645
13,18.885875561411055,17.953262014119108,12.597813168892424
14,17.47958272925292,13.79594006784317,6.826055134738017
15,14.760701062223811,13.159651994838613,15.702419095059478
16,19.546282303058078,7.946788156490499,13.137292618584027
17,16.267129738126577,12.293493186113372,14.14310913277378
18,22.63949785123178,18.72195906097587,9.058596016209123
19,16.608544308669533,16.326001164895903,15.414359617891439
20,15.843715929696195,14.258833123662733,8.129232710537119
21,12.617070191636982,18.253769066098222,16.747646976460786
22,17.675954452888497,19.014351145457212,13.263757633155326
23,15.096961104276941,16.44755948244063,17.383724357050003
24,17.838782824005218,21.258682603088545,2.8276657303342727
25,21.698561269688508,15.345668793879566,10.951555793934846
26,18.41292349440976,7.049445401804091,11.235153787582394
27,19.60700657180286,20.91047978639902,10.182178953171611
28,14.361778786980656,12.99545068952403,15.20667289148063
29,19.47937999346858,12.879952086727025,13.796860533282603
30,18.436848972066183,18.87428125274649,9.540563843715848
31,16.52552034031004,13.432572230420071,6.8792195580486775
32,19.33254124679059,16.043313084951144,12.016720516444913
33,16.944357899811838,9.339237773841592,10.531227125269716
34,16.457784675629537,11.791942387821722,11.437918498657677
35,19.818228855665424,22.54350285285938,12.606184564282717
36,19.15897675825244,14.701426955445381,5.283916792821625
37,17.880687560478524,15.24100204197631,20.621272985303822
38,17.13437565848495,16.206778659017022,11.878277878600455
39,12.740948830712107,19.574872263299703,14.631817385258145
40,21.55964376169371,11.360026499552758,16.910029611560933
41,11.691670217434737,17.351724778442144,19.668311336556727
42,13.542586536911902,12.737846036609305,12.352066918902661
43,15.734359556477104,8.798891400365576,12.244308956471272
44,13.219633288232528,16.897625444699216,8.783258307464427
45,24.97470482257893,11.862236738377971,10.871167968891857
46,21.660827478163515,10.074050506498615,12.796992459379254
47,23.882142394270925,8.566062166520023,12.6468548655904
48,19.169472574117904,18.126493950411373,7.668473865754278
49,12.057945241120755,17.09181324363594,13.04113073440753
50,19.127217826556446,16.38502459562541,9.618653685628283
51,19.045141637224518,16.171577621978468,9.498661551452399
52,26.395985300151402,16.889611970585843,7.825499787492416
53,20.954491238852235,11.099261930812638,14.755468230346281
54,23.213680105533317,11.71372024874637,15.371103245238464
55,19.85751417121424,18.286974377544443,18.636165041893555
56,16.895753477987082,11.985808415758703,8.888810920505977
57,14.328853717655527,14.694093955262401,13.195916467462053
